Date,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
2020-05-28,158,833,323,1472,477,12031,476,308,1416,337,258,83,628,281,763,571,795.0,507.0,478.0,321.0,129.0,527.0,152.0,667.0,216.0,663.0
2020-05-29,166,834,323,1477,477,12042,478,308,1416,338,259,83,629,283,766,571,797.0,509.0,478.0,333.0,129.0,529.0,152.0,668.0,216.0,663.0
2020-05-30,166,839,360,1514,477,12052,480,308,1417,338,259,83,594,283,768,571,796.0,509.0,478.0,333.0,129.0,530.0,153.0,669.0,216.0,663.0
2020-05-31,166,844,368,1517,477,12090,482,308,1419,338,259,83,581,283,776,570,800.0,512.0,478.0,335.0,129.0,538.0,153.0,670.0,213.0,667.0
2020-06-01,166,844,369,1517,477,12093,482,308,1419,339,260,83,582,283,775,570,801.0,512.0,478.0,336.0,129.0,539.0,152.0,670.0,213.0,667.0
2020-06-02,169,846,369,1521,477,12109,481,308,1419,339,260,83,582,284,776,570,802.0,521.0,479.0,337.0,129.0,540.0,152.0,670.0,213.0,668.0
2020-06-03,169,854,369,1527,472,12118,481,308,1419,340,260,83,582,284,777,570,804.0,527.0,479.0,337.0,129.0,540.0,154.0,671.0,213.0,668.0
2020-06-04,168,858,368,1528,472,12127,481,308,1423,344,261,84,582,284,777,570,805.0,528.0,479.0,337.0,128.0,540.0,154.0,671.0,214.0,668.0
2020-06-05,168,858,368,1529,471,12139,481,308,1423,344,262,84,582,285,777,570,806.0,528.0,479.0,337.0,128.0,540.0,154.0,671.0,214.0,670.0
2020-06-06,168,858,368,1529,471,12158,481,308,1423,345,262,84,583,285,776,570,804.0,530.0,479.0,337.0,128.0,540.0,154.0,671.0,216.0,670.0
2020-06-07,167,858,368,1529,471,12159,483,308,1424,345,262,84,583,285,778,570,804.0,531.0,480.0,338.0,128.0,540.0,154.0,671.0,216.0,670.0
2020-06-08,168,858,368,1531,470,12163,483,308,1424,345,262,84,583,285,778,570,804.0,531.0,480.0,338.0,128.0,540.0,154.0,671.0,216.0,670.0
2020-06-09,168,858,369,1532,470,12167,485,308,1426,346,262,84,583,285,778,570,804.0,534.0,481.0,340.0,128.0,541.0,154.0,671.0,216.0,670.0
2020-06-10,168,859,369,1533,469,12172,485,308,1426,346,262,84,583,285,778,570,805.0,534.0,481.0,341.0,128.0,541.0,154.0,670.0,216.0,670.0
2020-06-11,168,860,369,1533,470,12179,485,308,1426,346,264,84,584,285,778,570,805.0,534.0,481.0,341.0,128.0,541.0,154.0,670.0,216.0,670.0
2020-06-12,171,860,369,1533,470,12210,486,308,1432,348,264,84,584,285,778,571,805.0,535.0,481.0,342.0,128.0,541.0,154.0,670.0,216.0,670.0
2020-06-13,171,860,369,1533,470,12213,486,308,1434,348,264,84,584,285,778,572,805.0,535.0,481.0,342.0,128.0,541.0,154.0,670.0,216.0,672.0
2020-06-14,171,859,369,1533,470,12228,486,308,1434,348,264,84,585,285,778,572,805.0,536.0,481.0,342.0,129.0,541.0,154.0,670.0,216.0,672.0
2020-06-15,171,859,369,1535,470,12235,486,308,1435,350,264,84,584,285,778,572,806.0,536.0,481.0,343.0,129.0,541.0,154.0,670.0,216.0,672.0
2020-06-16,171,860,369,1535,470,12239,485,308,1436,350,264,84,583,285,778,571,806.0,536.0,482.0,344.0,129.0,541.0,155.0,670.0,216.0,672.0
2020-06-17,173,860,369,1535,470,12248,485,309,1439,351,264,84,583,285,778,571,806.0,536.0,482.0,344.0,129.0,541.0,155.0,670.0,216.0,672.0
2020-06-18,173,860,369,1535,464,12257,485,310,1439,353,264,78,583,285,779,571,806.0,536.0,482.0,344.0,125.0,541.0,155.0,670.0,216.0,672.0
2020-06-19,174,862,369,1535,464,12263,485,310,1443,354,264,78,583,285,780,572,807.0,536.0,483.0,344.0,125.0,541.0,155.0,672.0,216.0,673.0
2020-06-20,174,862,369,1535,464,12267,485,310,1443,354,265,78,583,285,780,572,807.0,536.0,483.0,344.0,125.0,541.0,155.0,672.0,216.0,674.0
2020-06-21,175,861,369,1535,464,12238,485,310,1467,353,265,78,583,285,780,572,807.0,536.0,483.0,345.0,125.0,541.0,155.0,672.0,216.0,681.0
2020-06-22,175,861,369,1535,464,12218,485,310,1476,354,265,78,583,285,780,572,808.0,536.0,483.0,345.0,125.0,543.0,156.0,672.0,216.0,697.0
2020-06-23,175,862,369,1535,464,12218,485,310,1477,354,265,78,583,285,780,571,808.0,537.0,483.0,345.0,125.0,543.0,156.0,672.0,217.0,697.0
2020-06-24,175,862,369,1535,464,12226,485,310,1478,354,265,78,583,285,780,571,808.0,537.0,483.0,345.0,125.0,543.0,156.0,672.0,217.0,697.0
2020-06-25,175,862,369,1535,464,12226,485,310,1478,354,265,78,583,285,780,571,808.0,537.0,483.0,345.0,125.0,543.0,156.0,672.0,217.0,697.0
