X,Y,Date,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths,StatisticsProfileDate,CovidCasesConfirmed,HospitalisedCovidCases,RequiringICUCovidCases,HealthcareWorkersCovidCases,ClustersNotified,HospitalisedAged5,HospitalisedAged5to14,HospitalisedAged15to24,HospitalisedAged25to34,HospitalisedAged35to44,HospitalisedAged45to54,HospitalisedAged55to64,HospitalisedAged65up,Male,Female,Unknown,Aged1,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,Aged65up,Median_Age,CommunityTransmission,CloseContact,TravelAbroad,FID
-856335.869598373,7036492.39571864,2020-06-01,77,25062,1,1650,2020-05-30,24985.0,3286.0,408.0,7968.0,866.0,19.0,17.0,72.0,198.0,254.0,442.0,481.0,1800.0,10661.0,14289.0,35.0,46.0,108.0,310.0,1830.0,4197.0,4399.0,4488.0,3204.0,6380.0,48.0,39.0,58.0,2.0,92
-856335.869598373,7036492.39571864,2020-06-02,10,25066,8,1658,2020-05-31,25056.0,3292.0,408.0,7986.0,867.0,19.0,17.0,72.0,198.0,254.0,443.0,482.0,1804.0,10693.0,14332.0,31.0,47.0,109.0,318.0,1841.0,4205.0,4407.0,4502.0,3213.0,6391.0,48.0,39.0,58.0,2.0,93
-856335.869598373,7036492.39571864,2020-06-03,47,25111,3,1659,2020-06-01,25064.0,3298.0,409.0,8004.0,872.0,19.0,17.0,72.0,197.0,255.0,443.0,484.0,1808.0,10697.0,14336.0,31.0,47.0,109.0,318.0,1842.0,4207.0,4407.0,4503.0,3213.0,6395.0,48.0,39.0,59.0,2.0,94
-856335.869598373,7036492.39571864,2020-06-04,38,25142,5,1664,2020-06-02,25104.0,3311.0,410.0,8025.0,876.0,19.0,18.0,73.0,197.0,257.0,443.0,487.0,1814.0,10715.0,14358.0,31.0,47.0,109.0,319.0,1842.0,4209.0,4416.0,4511.0,3221.0,6407.0,48.0,39.0,59.0,2.0,95
-856335.869598373,7036492.39571864,2020-06-05,28,25163,7,1670,2020-06-03,25135.0,3312.0,410.0,8046.0,880.0,20.0,18.0,73.0,196.0,257.0,443.0,488.0,1814.0,10734.0,14370.0,31.0,47.0,109.0,319.0,1847.0,4211.0,4424.0,4522.0,3227.0,6404.0,48.0,39.0,59.0,2.0,96
-856335.869598373,7036492.39571864,2020-06-06,24,25183,9,1678,2020-06-04,25159.0,3319.0,410.0,8059.0,885.0,20.0,18.0,73.0,197.0,257.0,443.0,490.0,1818.0,10743.0,14384.0,32.0,49.0,111.0,321.0,1850.0,4216.0,4425.0,4524.0,3228.0,6411.0,48.0,39.0,59.0,2.0,97
-856335.869598373,7036492.39571864,2020-06-07,25,25201,1,1679,2020-06-05,25176.0,3321.0,409.0,8057.0,888.0,20.0,17.0,73.0,197.0,258.0,443.0,490.0,1820.0,10751.0,14393.0,32.0,49.0,112.0,320.0,1854.0,4219.0,4430.0,4527.0,3226.0,6416.0,48.0,39.0,59.0,2.0,98
-856335.869598373,7036492.39571864,2020-06-08,9,25207,4,1683,2020-06-06,25198.0,3322.0,411.0,8073.0,891.0,20.0,18.0,72.0,197.0,258.0,444.0,491.0,1819.0,10759.0,14406.0,33.0,49.0,113.0,321.0,1859.0,4222.0,4434.0,4530.0,3229.0,6417.0,48.0,39.0,59.0,2.0,99
-856335.869598373,7036492.39571864,2020-06-09,9,25215,9,1691,2020-06-07,25206.0,3331.0,413.0,8087.0,892.0,20.0,18.0,72.0,199.0,260.0,445.0,490.0,1825.0,10766.0,14408.0,32.0,49.0,112.0,321.0,1859.0,4224.0,4437.0,4533.0,3229.0,6419.0,48.0,38.0,59.0,2.0,100
-856335.869598373,7036492.39571864,2020-06-10,19,25231,5,1695,2020-06-08,25212.0,3321.0,411.0,8099.0,887.0,20.0,17.0,71.0,198.0,260.0,445.0,489.0,1819.0,10771.0,14409.0,32.0,49.0,112.0,320.0,1861.0,4223.0,4438.0,4535.0,3232.0,6419.0,48.0,38.0,60.0,2.0,101
-856335.869598373,7036492.39571864,2020-06-11,8,25238,8,1703,2020-06-09,25230.0,3307.0,412.0,8114.0,901.0,20.0,17.0,69.0,198.0,261.0,444.0,490.0,1806.0,10777.0,14421.0,32.0,49.0,113.0,320.0,1866.0,4226.0,4441.0,4538.0,3232.0,6422.0,48.0,38.0,60.0,2.0,102
-856335.869598373,7036492.39571864,2020-06-12,13,25250,3,1705,2020-06-10,25237.0,3275.0,415.0,8116.0,917.0,20.0,17.0,69.0,199.0,261.0,444.0,490.0,1773.0,10780.0,14425.0,32.0,50.0,113.0,320.0,1866.0,4228.0,4442.0,4539.0,3232.0,6424.0,48.0,38.0,60.0,2.0,103
-856335.869598373,7036492.39571864,2020-06-13,46,25295,5,1705,2020-06-11,25249.0,3276.0,416.0,8123.0,941.0,20.0,17.0,69.0,199.0,261.0,444.0,490.0,1774.0,10784.0,14434.0,31.0,50.0,115.0,320.0,1867.0,4230.0,4443.0,4540.0,3232.0,6429.0,48.0,37.0,60.0,2.0,104
-856335.869598373,7036492.39571864,2020-06-14,8,25303,1,1706,2020-06-12,25295.0,3279.0,416.0,8130.0,970.0,20.0,17.0,69.0,200.0,261.0,444.0,491.0,1775.0,10804.0,14460.0,31.0,51.0,116.0,323.0,1871.0,4239.0,4452.0,4548.0,3236.0,6436.0,48.0,37.0,60.0,2.0,105
-856335.869598373,7036492.39571864,2020-06-15,18,25321,0,1706,2020-06-13,25303.0,3278.0,417.0,8130.0,976.0,20.0,17.0,69.0,200.0,261.0,444.0,491.0,1774.0,10808.0,14465.0,30.0,51.0,116.0,323.0,1873.0,4241.0,4452.0,4549.0,3236.0,6439.0,48.0,37.0,60.0,2.0,106
-856335.869598373,7036492.39571864,2020-06-16,14,25334,3,1709,2020-06-14,25320.0,3282.0,418.0,8139.0,976.0,20.0,17.0,69.0,200.0,261.0,445.0,490.0,1778.0,10815.0,14475.0,30.0,52.0,117.0,324.0,1874.0,4242.0,4455.0,4553.0,3238.0,6442.0,48.0,37.0,60.0,2.0,107
-856335.869598373,7036492.39571864,2020-06-17,8,25341,3,1710,2020-06-15,25333.0,3278.0,417.0,8144.0,981.0,21.0,16.0,70.0,199.0,262.0,444.0,487.0,1777.0,10820.0,14483.0,30.0,52.0,118.0,324.0,1874.0,4243.0,4458.0,4557.0,3238.0,6446.0,48.0,37.0,60.0,2.0,108
-856335.869598373,7036492.39571864,2020-06-18,16,25355,4,1714,2020-06-16,25339.0,3282.0,417.0,8147.0,1005.0,21.0,16.0,70.0,199.0,262.0,445.0,487.0,1780.0,10822.0,14487.0,30.0,52.0,118.0,324.0,1875.0,4244.0,4459.0,4558.0,3239.0,6447.0,48.0,37.0,61.0,2.0,109
-856335.869598373,7036492.39571864,2020-06-19,13,25368,2,1714,2020-06-17,25355.0,3286.0,416.0,8154.0,1031.0,21.0,16.0,70.0,200.0,262.0,445.0,488.0,1782.0,10831.0,14494.0,30.0,52.0,118.0,325.0,1877.0,4248.0,4462.0,4561.0,3240.0,6449.0,48.0,37.0,61.0,2.0,110
-856335.869598373,7036492.39571864,2020-06-20,22,25374,2,1715,2020-06-18,25352.0,3280.0,419.0,8152.0,1033.0,21.0,16.0,70.0,197.0,263.0,443.0,488.0,1780.0,10835.0,14487.0,30.0,52.0,118.0,326.0,1878.0,4249.0,4464.0,4557.0,3240.0,6446.0,48.0,37.0,61.0,2.0,111
-856335.869598373,7036492.39571864,2020-06-21,6,25379,0,1715,2020-06-19,25373.0,3282.0,419.0,8158.0,1036.0,21.0,16.0,70.0,197.0,263.0,444.0,488.0,1781.0,10845.0,14498.0,30.0,52.0,118.0,326.0,1883.0,4253.0,4467.0,4559.0,3243.0,6450.0,48.0,37.0,61.0,2.0,112
-856335.869598373,7036492.39571864,2020-06-22,4,25383,2,1717,2020-06-20,25379.0,3284.0,431.0,8161.0,1069.0,21.0,16.0,70.0,197.0,264.0,444.0,489.0,1781.0,10847.0,14502.0,30.0,52.0,118.0,326.0,1883.0,4254.0,4469.0,4560.0,3243.0,6452.0,48.0,36.0,61.0,2.0,113
-856335.869598373,7036492.39571864,2020-06-23,10,25391,3,1720,2020-06-21,25381.0,3285.0,434.0,8172.0,1100.0,21.0,16.0,70.0,197.0,264.0,444.0,489.0,1782.0,10849.0,14502.0,30.0,52.0,118.0,326.0,1884.0,4255.0,4468.0,4562.0,3243.0,6451.0,48.0,36.0,62.0,2.0,114
-856335.869598373,7036492.39571864,2020-06-24,5,25396,6,1726,2020-06-22,25391.0,3292.0,434.0,8177.0,1212.0,21.0,16.0,70.0,197.0,265.0,445.0,490.0,1786.0,10853.0,14508.0,30.0,52.0,118.0,327.0,1884.0,4256.0,4471.0,4562.0,3247.0,6452.0,48.0,36.0,62.0,2.0,115
-856335.869598373,7036492.39571864,2020-06-25,11,25405,1,1727,2020-06-23,25394.0,3293.0,433.0,8178.0,1321.0,21.0,16.0,70.0,196.0,265.0,444.0,490.0,1789.0,10855.0,14509.0,30.0,52.0,118.0,327.0,1884.0,4256.0,4471.0,4562.0,3247.0,6455.0,48.0,35.0,62.0,2.0,116
-856335.869598373,7036492.39571864,2020-06-26,11,25414,3,1730,2020-06-24,25403.0,3293.0,434.0,8185.0,1339.0,21.0,16.0,69.0,196.0,265.0,443.0,492.0,1789.0,10858.0,14515.0,30.0,52.0,118.0,327.0,1885.0,4257.0,4472.0,4562.0,3249.0,6459.0,48.0,35.0,63.0,2.0,117
-856335.869598373,7036492.39571864,2020-06-27,23,25437,6,1734,2020-06-25,25403.0,3293.0,434.0,8185.0,1339.0,21.0,16.0,69.0,196.0,265.0,443.0,492.0,1789.0,10858.0,14515.0,30.0,52.0,118.0,327.0,1885.0,4257.0,4472.0,4562.0,3249.0,6459.0,48.0,35.0,63.0,2.0,118
-856335.869598373,7036492.39571864,2020-06-28,1,25438,1,1735,2020-06-26,25403.0,3293.0,434.0,8185.0,1339.0,21.0,16.0,69.0,196.0,265.0,443.0,492.0,1789.0,10858.0,14515.0,30.0,52.0,118.0,327.0,1885.0,4257.0,4472.0,4562.0,3249.0,6459.0,48.0,35.0,63.0,2.0,119
-856335.869598373,7036492.39571864,2020-06-29,24,25462,0,1735,2020-06-27,25438.0,3293.0,435.0,8201.0,1429.0,21.0,16.0,69.0,196.0,265.0,444.0,492.0,1788.0,10876.0,14532.0,30.0,52.0,119.0,327.0,1891.0,4268.0,4480.0,4567.0,3249.0,6463.0,48.0,35.0,63.0,2.0,120
-856335.869598373,7036492.39571864,2020-06-30,11,25473,1,1736,2020-06-28,25462.0,3295.0,434.0,8208.0,1429.0,21.0,16.0,69.0,196.0,266.0,444.0,492.0,1789.0,10882.0,14550.0,30.0,53.0,119.0,327.0,1894.0,4273.0,4483.0,4570.0,3251.0,6470.0,48.0,35.0,63.0,2.0,121
-856335.869598373,7036492.39571864,2020-07-01,6,25477,3,1738,2020-06-29,25471.0,3298.0,434.0,8215.0,1687.0,21.0,16.0,71.0,196.0,266.0,444.0,492.0,1789.0,10887.0,14554.0,30.0,53.0,119.0,328.0,1896.0,4277.0,4484.0,4572.0,3251.0,6470.0,48.0,35.0,63.0,2.0,122
-856335.869598373,7036492.39571864,2020-07-02,15,25489,5,1738,2020-06-29,25471.0,3298.0,434.0,8215.0,1687.0,21.0,16.0,71.0,196.0,266.0,444.0,492.0,1789.0,10887.0,14554.0,30.0,53.0,119.0,328.0,1896.0,4277.0,4484.0,4572.0,3251.0,6470.0,48.0,35.0,63.0,2.0,123
-856335.869598373,7036492.39571864,2020-07-03,9,25498,2,1740,2020-07-01,25489.0,3307.0,436.0,8219.0,1772.0,21.0,16.0,72.0,197.0,267.0,446.0,492.0,1794.0,10894.0,14565.0,30.0,52.0,119.0,328.0,1901.0,4283.0,4484.0,4576.0,3253.0,6471.0,48.0,33.0,64.0,2.0,124
-856335.869598373,7036492.39571864,2020-07-04,11,25509,1,1741,2020-07-02,25498.0,3309.0,436.0,8226.0,1809.0,22.0,17.0,72.0,197.0,267.0,446.0,492.0,1794.0,10901.0,12799.0,30.0,53.0,120.0,329.0,1901.0,4287.0,4485.0,4576.0,3254.0,6471.0,48.0,33.0,64.0,2.0,125
-856335.869598373,7036492.39571864,2020-07-05,18,25527,0,1741,2020-07-03,25509.0,3308.0,436.0,8227.0,1823.0,22.0,17.0,72.0,197.0,267.0,446.0,492.0,1793.0,10909.0,14570.0,30.0,53.0,121.0,329.0,1901.0,4289.0,4488.0,4580.0,3255.0,6371.0,48.0,33.0,64.0,2.0,126
